Kecamatan,Kelurahan,Tidak/Belum Sekolah,Belum Tamat SD,Tamat SD,SMP,SMA,Diploma I dan II,Diploma III,Strata 1/Diploma IV,Strata 2,Strata 3
Regol,Ancol,1642,1032,816,1200,3655,114,711,2254,251,28
Antapani,Antapani Kidul,3914,1886,1417,2154,7417,425,1769,5409,840,95
Antapani,Antapani Kulon,1818,911,1116,1318,3188,122,503,1605,298,34
Antapani,Antapani Tengah,3949,1865,1800,2227,6760,420,1602,4467,532,59
Antapani,Antapani Wetan,3228,1691,1718,2246,5737,245,863,2680,445,44
Cicendo,Arjuna,1788,995,1193,1615,5002,242,599,1521,166,15
Babakan Ciparay,Babakan,5321,3270,6808,5110,7376,207,752,1314,82,13
Bojongloa Kaler,Babakan Asih,2801,1625,2427,2700,5384,159,431,878,43,2
Sumur Bandung,Babakan Ciamis,1209,700,759,974,3238,74,310,900,72,9
Babakan Ciparay,Babakan Ciparay,5540,3610,6790,5492,9119,183,590,1513,80,8
Cinambo,Babakan Penghulu,1200,735,1114,1135,2039,37,217,683,118,9
Kiaracondong,Babakan Surabaya,3926,1565,2960,3019,6882,94,515,1164,103,6
Bojongloa Kaler,Babakan Tarogong,5084,2768,5181,5030,9122,208,515,1008,46,4
Kiaracondong,Babakansari,7444,2911,4726,5342,13827,228,1274,2855,187,26
Regol,Balonggede,1179,698,504,1034,3372,51,308,1058,70,10
Bandung Kidul,Batununggal,3069,1543,1855,2446,6131,166,824,2798,344,43
Batununggal,Binong,3057,1812,2356,3351,6480,70,441,1169,63,5
Sumur Bandung,Braga,847,448,495,863,2495,48,195,642,62,10
Lengkong,Burangrang,1486,914,948,1241,3414,167,643,1150,153,17
Andir,Campaka,2895,2005,2213,2851,6353,83,474,1278,120,11
Bandung Kulon,Caringin,1633,992,1217,1562,2524,87,318,922,105,17
Regol,Ciateul,960,661,394,809,3004,87,416,1163,83,12
Astana Anyar,Cibadak,1942,1243,1575,1983,4898,91,467,1117,58,8
Bojongloa Kidul,Cibaduyut,2144,1458,2816,2170,3248,56,177,476,28,5
Bojongloa Kidul,Cibaduyut Kidul,1619,1066,2399,1417,1942,58,221,397,50,7
Bojongloa Kidul,Cibaduyut Wetan,1433,958,1445,996,1911,65,230,1062,64,6
Batununggal,Cibangkong,2690,1840,2157,3083,6816,63,532,1187,80,11
Bandung Kulon,Cibuntu,3183,2093,2477,3101,5864,177,459,1003,63,6
Cibeunying Kidul,Cicadas,2794,1383,1511,2485,5951,144,589,1315,88,6
Kiaracondong,Cicaheum,3209,1412,2164,2428,6099,107,506,1292,124,14
Cibeunying Kaler,Cigadung,5030,2903,3631,3932,10289,203,1101,3718,672,169
Ujung Berung,Cigending,2754,1708,1620,2489,5419,187,599,1576,220,33
Regol,Cigereleng,1699,946,703,1224,4220,206,734,2132,187,31
Bandung Kulon,Cigondewah Kaler,3644,2500,5465,3437,3678,56,175,574,36,0
Bandung Kulon,Cigondewah Kidul,1596,1037,2318,1349,1750,23,203,783,42,4
Bandung Kulon,Cigondewah Rahayu,1765,1190,2903,1544,1949,54,207,609,31,1
Bandung Wetan,Cihapit,491,269,109,210,1035,66,353,1286,298,45
Cibeunying Kaler,Cihaur Geulis,1706,1174,902,1498,4894,98,653,1630,180,32
Lengkong,Cijagra,1638,1185,781,1071,3127,144,698,2684,480,59
Buahbatu,Cijaura,4902,2562,3545,3557,8309,196,1316,3186,298,36
Bandung Kulon,Cijerah,4071,2628,3365,4133,7385,234,644,1507,159,26
Lengkong,Cikawao,1342,890,861,1229,3285,152,391,779,72,9
Cibeunying Kidul,Cikutra,3795,2046,2548,3469,7795,270,875,2009,187,30
Gedebage,Cimenerang,832,475,677,646,832,44,160,411,33,5
Cibiru,Cipadung,3851,2168,2832,3162,7124,228,597,1908,272,53
Panyileukan,Cipadung Kidul,2242,1326,577,1216,5171,270,1037,3047,343,66
Panyileukan,Cipadung Kulon,2287,1364,1444,1897,4310,163,543,1397,143,27
Panyileukan,Cipadung Wetan,635,329,669,668,942,19,50,148,12,0
Coblong,Cipaganti,1743,1095,1260,1454,4399,57,384,1171,97,24
Rancasari,Cipamokolan,4108,2125,2485,2635,7174,287,1375,3552,543,48
Sukajadi,Cipedes,4523,3231,4155,4442,9822,297,1079,1688,153,25
Babakan Ciparay,Cirangrang,1855,1148,2743,1798,2792,80,222,627,71,9
Andir,Ciroyom,3465,2034,2774,3379,6852,82,328,917,40,8
Gedebage,Cisantren Kidul,3561,1811,2014,2910,5734,239,1097,2850,398,50
Arcamanik,Cisaranten Bina Harapan,2123,1046,1658,1879,3710,98,390,1042,112,9
